metric,run,label,points,last_step,last_reward,best_step,best_reward,last5_mean,early500_mean,auc_mean
train,feature_norm_only,FeatureNorm only,54,1489600,-777.3248901367188,1013600,-698.5407104492188,-792.907958984375,-1305.1341552734375,-987.3190935242851
train,flat_rms_only,Flat RMS only,54,1489600,-868.15380859375,1377600,-776.6467895507812,-845.4785034179688,-1214.2035115559895,-1000.739444372789
train,component_rms_only,Component RMS only,54,1489600,-845.9555053710938,1209600,-790.5570068359375,-870.3667358398437,-1355.7828233506943,-1088.1364982173127
eval,feature_norm_only,FeatureNorm only,15,1495200,-730.026123046875,1310400,-696.8170776367188,-715.3293212890625,-1247.6959838867188,-879.146283988493
eval,flat_rms_only,Flat RMS only,15,1495200,-815.9241943359375,504000,-799.5015258789062,-872.3277221679688,-1086.5965576171875,-907.6850291792168
eval,component_rms_only,Component RMS only,15,1495200,-829.6634521484375,1108800,-822.5014038085938,-845.5488037109375,-1265.7417297363281,-977.9989190159074
