metric,run,label,step,value
train,flat_rms_only,Flat RMS only,1013600,-845.5527954101562
train,flat_rms_only,Flat RMS only,1041600,-814.7302856445312
train,flat_rms_only,Flat RMS only,1069600,-991.1307373046875
train,flat_rms_only,Flat RMS only,1097600,-946.6134643554688
train,flat_rms_only,Flat RMS only,1125600,-906.7178344726562
train,flat_rms_only,Flat RMS only,1153600,-1024.6785888671875
train,flat_rms_only,Flat RMS only,1181600,-1136.88720703125
train,flat_rms_only,Flat RMS only,1209600,-909.791015625
train,flat_rms_only,Flat RMS only,1237600,-1015.7313842773438
train,flat_rms_only,Flat RMS only,1265600,-895.4593505859375
train,flat_rms_only,Flat RMS only,1293600,-876.8739013671875
train,flat_rms_only,Flat RMS only,1321600,-883.1056518554688
train,flat_rms_only,Flat RMS only,1349600,-953.175537109375
train,flat_rms_only,Flat RMS only,1377600,-776.6467895507812
train,flat_rms_only,Flat RMS only,1405600,-856.8677978515625
train,flat_rms_only,Flat RMS only,1433600,-886.164794921875
train,flat_rms_only,Flat RMS only,1461600,-839.559326171875
train,flat_rms_only,Flat RMS only,1489600,-868.15380859375
train,component_rms_only,Component RMS only,5600,-1647.3489990234375
train,component_rms_only,Component RMS only,33600,-1575.4534912109375
train,component_rms_only,Component RMS only,61600,-1608.0460205078125
train,component_rms_only,Component RMS only,89600,-1318.6873779296875
train,component_rms_only,Component RMS only,117600,-1645.3856201171875
train,component_rms_only,Component RMS only,145600,-1453.972900390625
train,component_rms_only,Component RMS only,173600,-1485.2642822265625
train,component_rms_only,Component RMS only,201600,-1317.40869140625
train,component_rms_only,Component RMS only,229600,-1308.968994140625
train,component_rms_only,Component RMS only,257600,-1340.0322265625
train,component_rms_only,Component RMS only,285600,-1465.4217529296875
train,component_rms_only,Component RMS only,313600,-1271.574462890625
train,component_rms_only,Component RMS only,341600,-1120.7806396484375
train,component_rms_only,Component RMS only,369600,-1226.6668701171875
train,component_rms_only,Component RMS only,397600,-1272.7939453125
train,component_rms_only,Component RMS only,425600,-1154.3172607421875
train,component_rms_only,Component RMS only,453600,-1088.0782470703125
train,component_rms_only,Component RMS only,481600,-1103.8890380859375
train,component_rms_only,Component RMS only,509600,-1167.29638671875
train,component_rms_only,Component RMS only,537600,-1061.739013671875
train,component_rms_only,Component RMS only,565600,-1071.57470703125
train,component_rms_only,Component RMS only,593600,-966.130615234375
train,component_rms_only,Component RMS only,621600,-1162.776611328125
train,component_rms_only,Component RMS only,649600,-1039.231689453125
train,component_rms_only,Component RMS only,677600,-995.9595336914062
train,component_rms_only,Component RMS only,705600,-1160.57958984375
train,component_rms_only,Component RMS only,733600,-931.4898071289062
train,component_rms_only,Component RMS only,761600,-1151.6256103515625
train,component_rms_only,Component RMS only,789600,-965.1387329101562
train,component_rms_only,Component RMS only,817600,-1183.6160888671875
train,component_rms_only,Component RMS only,845600,-1044.701904296875
train,component_rms_only,Component RMS only,873600,-991.4545288085938
train,component_rms_only,Component RMS only,901600,-1022.9105224609375
train,component_rms_only,Component RMS only,929600,-1056.5601806640625
train,component_rms_only,Component RMS only,957600,-876.0785522460938
train,component_rms_only,Component RMS only,985600,-919.9730834960938
train,component_rms_only,Component RMS only,1013600,-937.2850341796875
train,component_rms_only,Component RMS only,1041600,-900.3634643554688
train,component_rms_only,Component RMS only,1069600,-1020.915283203125
train,component_rms_only,Component RMS only,1097600,-914.9244995117188
train,component_rms_only,Component RMS only,1125600,-923.5697021484375
train,component_rms_only,Component RMS only,1153600,-906.211669921875
train,component_rms_only,Component RMS only,1181600,-839.4037475585938
train,component_rms_only,Component RMS only,1209600,-790.5570068359375
train,component_rms_only,Component RMS only,1237600,-826.452880859375
train,component_rms_only,Component RMS only,1265600,-812.7122802734375
train,component_rms_only,Component RMS only,1293600,-842.162109375
train,component_rms_only,Component RMS only,1321600,-825.105224609375
train,component_rms_only,Component RMS only,1349600,-853.4620971679688
train,component_rms_only,Component RMS only,1377600,-844.58642578125
train,component_rms_only,Component RMS only,1405600,-837.5352172851562
train,component_rms_only,Component RMS only,1433600,-922.0537109375
train,component_rms_only,Component RMS only,1461600,-901.7028198242188
train,component_rms_only,Component RMS only,1489600,-845.9555053710938
eval,feature_norm_only,FeatureNorm only,100800,-1503.7208251953125
eval,feature_norm_only,FeatureNorm only,201600,-1322.3052978515625
eval,feature_norm_only,FeatureNorm only,302400,-1134.7174072265625
eval,feature_norm_only,FeatureNorm only,403200,-1030.0404052734375
eval,feature_norm_only,FeatureNorm only,504000,-864.5350341796875
eval,feature_norm_only,FeatureNorm only,604800,-872.0661010742188
eval,feature_norm_only,FeatureNorm only,705600,-813.9916381835938
eval,feature_norm_only,FeatureNorm only,806400,-880.0501098632812
eval,feature_norm_only,FeatureNorm only,907200,-702.2868041992188
eval,feature_norm_only,FeatureNorm only,1008000,-701.38525390625
eval,feature_norm_only,FeatureNorm only,1108800,-697.1685791015625
eval,feature_norm_only,FeatureNorm only,1209600,-702.47998046875
eval,feature_norm_only,FeatureNorm only,1310400,-696.8170776367188
eval,feature_norm_only,FeatureNorm only,1411200,-750.1548461914062
eval,feature_norm_only,FeatureNorm only,1495200,-730.026123046875
eval,flat_rms_only,Flat RMS only,100800,-1370.135009765625
eval,flat_rms_only,Flat RMS only,201600,-1155.43603515625
eval,flat_rms_only,Flat RMS only,302400,-937.4622192382812
eval,flat_rms_only,Flat RMS only,403200,-883.3529663085938
eval,flat_rms_only,Flat RMS only,504000,-799.5015258789062
eval,flat_rms_only,Flat RMS only,604800,-831.20654296875
eval,flat_rms_only,Flat RMS only,705600,-807.8412475585938
eval,flat_rms_only,Flat RMS only,806400,-861.109375
eval,flat_rms_only,Flat RMS only,907200,-902.8070678710938
eval,flat_rms_only,Flat RMS only,1008000,-879.6799926757812
eval,flat_rms_only,Flat RMS only,1108800,-828.1864624023438
eval,flat_rms_only,Flat RMS only,1209600,-976.596435546875
eval,flat_rms_only,Flat RMS only,1310400,-866.878662109375
eval,flat_rms_only,Flat RMS only,1411200,-874.0528564453125
eval,flat_rms_only,Flat RMS only,1495200,-815.9241943359375
eval,component_rms_only,Component RMS only,100800,-1397.1112060546875
eval,component_rms_only,Component RMS only,201600,-1343.7235107421875
eval,component_rms_only,Component RMS only,302400,-1144.32080078125
eval,component_rms_only,Component RMS only,403200,-1177.8114013671875
eval,component_rms_only,Component RMS only,504000,-1051.0068359375
eval,component_rms_only,Component RMS only,604800,-983.0012817382812
eval,component_rms_only,Component RMS only,705600,-898.6055908203125
eval,component_rms_only,Component RMS only,806400,-875.5357055664062
eval,component_rms_only,Component RMS only,907200,-841.351318359375
eval,component_rms_only,Component RMS only,1008000,-840.8499755859375
eval,component_rms_only,Component RMS only,1108800,-822.5014038085938
eval,component_rms_only,Component RMS only,1209600,-907.0745849609375
eval,component_rms_only,Component RMS only,1310400,-833.8967895507812
eval,component_rms_only,Component RMS only,1411200,-834.6077880859375
eval,component_rms_only,Component RMS only,1495200,-829.6634521484375
